ts,tempC,humidity
2025-11-11T10:34:45.543324,24.10,34.00
2025-11-11T10:34:45.644740,24.10,34.00
2025-11-11T10:34:45.746576,24.10,34.00
2025-11-11T10:34:45.849162,24.10,34.00
2025-11-11T10:34:45.952676,24.10,34.00
2025-11-11T10:34:46.054438,24.10,34.00
2025-11-11T10:34:46.156332,24.10,34.00
2025-11-11T10:34:46.258766,24.10,34.00
2025-11-11T10:34:46.360370,24.10,34.00
2025-11-11T10:34:46.462047,24.10,34.00
2025-11-11T10:34:46.564073,24.10,34.00
2025-11-11T10:34:46.667865,24.10,34.00
2025-11-11T10:34:46.769999,24.10,34.00
2025-11-11T10:34:46.871791,24.10,34.00
2025-11-11T10:34:46.974000,24.10,34.00
2025-11-11T10:34:47.076137,24.10,34.00
2025-11-11T10:34:47.178980,24.10,34.00
2025-11-11T10:34:47.280806,24.10,34.00
2025-11-11T10:34:47.382945,24.10,34.00
2025-11-11T10:34:47.484771,24.10,34.00
2025-11-11T10:34:47.586801,24.10,34.00
2025-11-11T10:34:47.689107,24.10,34.00
2025-11-11T10:34:47.791254,24.10,34.00
2025-11-11T10:34:47.893154,24.10,34.00
2025-11-11T10:34:47.994947,24.10,34.00
2025-11-11T10:34:48.096535,24.10,34.00
2025-11-11T10:34:48.198737,24.10,34.00
2025-11-11T10:34:48.300822,24.10,34.00
2025-11-11T10:34:48.403258,24.10,34.00
2025-11-11T10:34:48.505483,24.10,34.00
2025-11-11T10:34:48.607895,24.10,34.00
2025-11-11T10:34:48.710321,24.10,34.00
2025-11-11T10:34:48.812436,24.10,34.00
2025-11-11T10:34:48.914542,24.10,34.00
2025-11-11T10:34:49.017055,24.10,34.00
2025-11-11T10:34:49.119089,24.10,34.00
2025-11-11T10:34:49.220885,24.10,34.00
2025-11-11T10:34:49.323522,24.10,34.00
2025-11-11T10:34:49.425803,24.10,34.00
2025-11-11T10:34:49.527315,24.10,34.00
2025-11-11T10:34:49.628661,24.10,34.00
2025-11-11T10:34:49.730600,24.10,34.00
2025-11-11T10:34:49.832431,24.10,34.00
2025-11-11T10:34:49.934428,24.10,34.00
2025-11-11T10:34:50.035979,24.10,34.00
2025-11-11T10:34:50.137290,24.10,34.00
2025-11-11T10:34:50.239091,24.10,34.00
2025-11-11T10:34:50.340999,24.10,34.00
2025-11-11T10:34:50.442935,24.10,34.00
2025-11-11T10:34:50.544956,24.10,34.00
2025-11-11T10:34:50.646663,24.10,34.00
2025-11-11T10:34:50.748899,24.10,34.00
2025-11-11T10:34:50.850807,24.10,34.00
2025-11-11T10:34:50.953099,24.10,34.00
2025-11-11T10:34:51.055745,24.10,34.00
2025-11-11T10:34:51.158622,24.10,34.00
2025-11-11T10:34:51.261008,24.10,34.00
2025-11-11T10:34:51.364285,24.10,34.00
2025-11-11T10:34:51.466761,24.10,34.00
2025-11-11T10:34:51.568356,24.10,34.00
2025-11-11T10:34:51.670959,24.10,34.00
2025-11-11T10:34:51.772710,24.10,34.00
2025-11-11T10:34:51.875614,24.10,34.00
2025-11-11T10:34:51.978998,24.10,34.00
2025-11-11T10:34:52.081701,24.10,34.00
2025-11-11T10:34:52.183800,24.10,34.00
2025-11-11T10:34:52.286246,24.10,34.00
2025-11-11T10:34:52.388777,24.10,34.00
2025-11-11T10:34:52.491062,24.10,34.00
2025-11-11T10:34:52.593462,24.10,34.00
2025-11-11T10:34:52.696693,24.10,34.00
2025-11-11T10:34:52.798583,24.10,34.00
2025-11-11T10:34:52.900618,24.10,34.00
2025-11-11T10:34:53.003077,24.10,34.00
2025-11-11T10:34:53.105503,24.10,34.00
2025-11-11T10:34:53.208093,24.10,34.00
2025-11-11T10:34:53.310432,24.10,34.00
2025-11-11T10:34:53.412504,24.10,34.00
2025-11-11T10:34:53.514871,24.10,34.00
2025-11-11T10:34:53.618253,24.10,34.00
2025-11-11T10:34:53.721107,24.10,34.00
2025-11-11T10:34:53.823327,24.10,34.00
2025-11-11T10:34:53.925626,24.10,34.00
2025-11-11T10:34:54.027970,24.10,34.00
2025-11-11T10:34:54.130534,24.10,34.00
2025-11-11T10:34:54.233794,24.10,34.00
2025-11-11T10:34:54.336797,24.10,34.00
2025-11-11T10:34:54.439688,24.10,34.00
2025-11-11T10:34:54.542644,24.10,34.00
2025-11-11T10:34:54.646189,24.10,34.00
2025-11-11T10:34:54.748744,24.10,34.00
2025-11-11T10:34:54.851792,24.10,34.00
2025-11-11T10:34:54.954626,24.10,34.00
2025-11-11T10:34:55.057763,24.10,34.00
2025-11-11T10:34:55.160080,24.10,34.00
2025-11-11T10:34:55.262646,24.10,34.00
2025-11-11T10:34:55.365536,24.10,34.00
2025-11-11T10:34:55.468302,24.10,34.00
2025-11-11T10:34:55.570996,24.10,34.00
2025-11-11T10:34:55.674101,24.10,34.00
2025-11-11T10:34:55.776647,24.10,34.00
2025-11-11T10:34:55.878862,24.10,34.00
2025-11-11T10:34:55.981489,24.10,34.00
2025-11-11T10:34:56.083980,24.10,34.00
2025-11-11T10:34:56.186016,24.10,34.00
2025-11-11T10:34:56.289377,24.10,34.00
2025-11-11T10:34:56.392533,24.10,34.00
2025-11-11T10:34:56.495371,24.10,34.00
2025-11-11T10:34:56.598464,24.10,34.00
2025-11-11T10:34:56.700813,24.10,34.00
2025-11-11T10:34:56.803639,24.10,34.00
2025-11-11T10:34:56.906536,24.10,34.00
2025-11-11T10:34:57.009039,24.10,34.00
2025-11-11T10:34:57.111806,24.10,34.00
2025-11-11T10:34:57.214797,24.10,34.00
2025-11-11T10:34:57.316630,24.10,34.00
2025-11-11T10:34:57.419747,24.10,34.00
2025-11-11T10:34:57.522345,24.10,34.00
2025-11-11T10:34:57.624529,24.10,34.00
2025-11-11T10:34:57.726992,24.10,34.00
2025-11-11T10:34:57.829797,24.10,34.00
2025-11-11T10:34:57.932859,24.10,34.00
2025-11-11T10:34:58.035702,24.10,34.00
2025-11-11T10:34:58.138437,24.10,34.00
2025-11-11T10:34:58.241305,24.10,34.00
2025-11-11T10:34:58.344760,24.10,34.00
2025-11-11T10:34:58.448488,24.10,34.00
2025-11-11T10:34:58.550468,24.10,34.00
2025-11-11T10:34:58.653464,24.10,34.00
2025-11-11T10:34:58.756410,24.10,34.00
2025-11-11T10:34:58.859402,24.10,34.00
2025-11-11T10:34:58.963302,24.10,34.00
2025-11-11T10:34:59.066659,24.10,34.00
2025-11-11T10:34:59.168643,24.10,34.00
2025-11-11T10:34:59.271094,24.10,34.00
2025-11-11T10:34:59.373609,24.10,34.00
2025-11-11T10:34:59.476261,24.10,34.00
2025-11-11T10:34:59.578480,24.10,34.00
2025-11-11T10:34:59.680996,24.10,34.00
2025-11-11T10:34:59.784469,24.10,34.00
2025-11-11T10:34:59.887278,24.10,34.00
2025-11-11T10:34:59.990427,24.10,34.00
2025-11-11T10:35:00.092964,24.10,34.00
2025-11-11T10:35:00.195261,24.10,34.00
2025-11-11T10:35:00.298650,24.10,34.00
2025-11-11T10:35:00.400766,24.10,34.00
2025-11-11T10:35:00.503289,24.10,34.00
2025-11-11T10:35:00.605936,24.10,34.00
2025-11-11T10:35:00.708627,24.10,34.00
2025-11-11T10:35:00.811423,24.10,34.00
2025-11-11T10:35:00.914032,24.10,34.00
2025-11-11T10:35:01.016406,24.10,34.00
2025-11-11T10:35:01.118113,24.10,34.00
2025-11-11T10:35:01.220523,24.10,34.00
2025-11-11T10:35:01.322216,24.10,34.00
2025-11-11T10:35:01.425046,24.10,34.00
2025-11-11T10:35:01.527258,24.10,34.00
2025-11-11T10:35:01.629772,24.10,34.00
2025-11-11T10:35:01.732119,24.10,34.00
2025-11-11T10:35:01.834687,24.10,34.00
2025-11-11T10:35:01.937620,24.10,34.00
2025-11-11T10:35:02.039479,24.10,34.00
2025-11-11T10:35:02.142162,24.10,34.00
2025-11-11T10:35:02.244729,24.10,34.00
2025-11-11T10:35:02.347818,24.10,34.00
2025-11-11T10:35:02.450497,24.10,34.00
2025-11-11T10:35:02.552974,24.10,34.00
2025-11-11T10:35:02.655640,24.10,34.00
2025-11-11T10:35:02.758337,24.10,34.00
2025-11-11T10:35:02.860563,24.10,34.00
2025-11-11T10:35:02.963173,24.10,34.00
2025-11-11T10:35:03.065993,24.10,34.00
2025-11-11T10:35:03.168837,24.10,34.00
2025-11-11T10:35:03.271363,24.10,34.00
2025-11-11T10:35:03.373838,24.10,34.00
2025-11-11T10:35:03.476324,24.10,34.00
2025-11-11T10:35:03.579328,24.10,34.00
2025-11-11T10:35:03.681582,24.10,34.00
2025-11-11T10:35:03.783944,24.10,34.00
2025-11-11T10:35:03.888120,24.10,34.00
2025-11-11T10:35:03.990117,24.10,34.00
2025-11-11T10:35:04.091880,24.10,34.00
2025-11-11T10:35:04.194551,24.10,34.00
2025-11-11T10:35:04.296368,24.10,34.00
2025-11-11T10:35:04.398375,24.10,34.00
2025-11-11T10:35:04.499915,24.10,34.00
2025-11-11T10:35:04.602692,24.10,34.00
2025-11-11T10:35:04.704432,24.10,34.00
2025-11-11T10:35:04.806581,24.10,34.00
2025-11-11T10:35:04.909042,24.10,34.00
2025-11-11T10:35:05.011308,24.10,34.00
2025-11-11T10:35:05.112671,24.10,34.00
2025-11-11T10:35:05.214903,24.10,34.00
2025-11-11T10:35:05.317745,24.10,34.00
2025-11-11T10:35:05.419926,24.10,34.00
2025-11-11T10:35:05.521787,24.10,34.00
2025-11-11T10:35:05.623946,24.10,34.00
2025-11-11T10:35:05.725845,24.10,34.00
2025-11-11T10:35:05.828595,24.10,34.00
2025-11-11T10:35:05.930375,24.10,34.00
2025-11-11T10:35:06.032710,24.10,34.00
2025-11-11T10:35:06.135360,24.10,34.00
2025-11-11T10:35:06.237869,24.10,34.00
2025-11-11T10:35:06.339844,24.10,34.00
2025-11-11T10:35:06.442247,24.10,34.00
2025-11-11T10:35:06.545424,24.10,34.00
2025-11-11T10:35:06.648194,24.10,34.00
2025-11-11T10:35:06.751011,24.10,34.00
2025-11-11T10:35:06.853888,24.10,34.00
2025-11-11T10:35:06.956895,24.10,34.00
2025-11-11T10:35:07.059648,24.10,34.00
2025-11-11T10:35:07.162009,24.10,34.00
2025-11-11T10:35:07.264269,24.10,34.00
2025-11-11T10:35:07.367300,24.10,34.00
2025-11-11T10:35:07.470153,24.10,34.00
2025-11-11T10:35:07.573194,24.10,34.00
2025-11-11T10:35:07.675426,24.10,34.00
2025-11-11T10:35:07.777799,24.10,34.00
2025-11-11T10:35:07.880764,24.10,34.00
2025-11-11T10:35:07.983257,24.10,34.00
2025-11-11T10:35:08.087167,24.10,34.00
2025-11-11T10:35:08.190002,24.10,34.00
2025-11-11T10:35:08.293015,24.10,34.00
2025-11-11T10:35:08.395631,24.10,34.00
2025-11-11T10:35:08.498388,24.10,34.00
2025-11-11T10:35:08.601097,24.10,34.00
2025-11-11T10:35:08.704297,24.10,34.00
2025-11-11T10:35:08.808161,24.10,34.00
2025-11-11T10:35:08.911401,24.10,34.00
2025-11-11T10:35:09.014480,24.10,34.00
2025-11-11T10:35:09.116344,24.10,34.00
2025-11-11T10:35:09.219181,24.10,34.00
